Trial #	Cell #	Observation #	Rel. Time	Offset	Elapsed Time
-1	-1	-1	00:21:32.397	3	4258
-1	-1	-1	00:21:36.615	2	4218
-1	-1	-1	00:21:40.673	3	4058
-1	-1	-1	00:21:44.790	3	4117
-1	-1	-1	00:21:48.982	3	4192
-1	-1	-1	00:21:53.057	3	4075
-1	-1	-1	00:21:57.299	3	4242
-1	-1	-1	00:22:01.532	3	4233
-1	-1	-1	00:22:05.690	3	4158
-1	-1	-1	00:22:09.907	3	4217
-1	-1	-1	00:22:14.116	3	4209
-1	-1	-1	00:22:18.341	3	4225
-1	-1	-1	00:22:22.541	3	4200
-1	-1	-1	00:22:26.640	4	4099
-1	-1	-1	00:22:30.799	3	4159
-1	-1	-1	00:22:34.925	2	4126
-1	-1	-1	00:22:39.075	2	4150
-1	-1	-1	00:22:43.258	3	4183
-1	-1	-1	00:22:47.476	1	4218
-1	-1	-1	00:22:51.542	3	4066
-1	-1	-1	00:22:55.759	3	4217
-1	-1	-1	00:22:59.943	2	4184
-1	-1	-1	00:23:04.126	2	4183
-1	-1	-1	00:23:08.326	2	4200
-1	-1	-1	00:23:12.509	3	4183
-1	-1	-1	00:23:16.693	2	4184
-1	-1	-1	00:23:20.793	2	4100
-1	-1	-1	00:23:25.034	3	4241
-1	-1	-1	00:23:29.284	3	4250
-1	-1	-1	00:23:33.484	3	4200
-1	-1	-1	00:23:37.560	2	4076
-1	-1	-1	00:23:41.743	2	4183
-1	-1	-1	00:23:45.926	3	4183
-1	-1	-1	00:23:50.135	2	4209
-1	-1	-1	00:23:54.201	3	4066
-1	-1	-1	00:23:58.351	3	4150
-1	-1	-1	00:24:02.544	3	4193
-1	-1	-1	00:24:06.619	3	4075
-1	-1	-1	00:24:10.727	3	4108
-1	-1	-1	00:24:14.961	3	4234
-1	-1	-1	00:24:19.086	3	4125
-1	-1	-1	00:24:23.202	3	4116
-1	-1	-1	00:24:27.319	3	4117
-1	-1	-1	00:24:31.470	2	4151
-1	-1	-1	00:24:35.694	3	4224
-1	-1	-1	00:24:39.769	3	4075
-1	-1	-1	00:24:43.919	3	4150
-1	-1	-1	00:24:48.145	2	4226
-1	-1	-1	00:24:52.261	3	4116
-1	-1	-1	00:24:56.394	3	4133
-1	-1	-1	00:25:00.537	2	4143
-1	-1	-1	00:25:04.628	3	4091
-1	-1	-1	00:25:08.837	3	4209
-1	-1	-1	00:25:13.004	3	4167
-1	-1	-1	00:25:17.104	3	4100
-1	-1	-1	00:25:21.246	3	4142
-1	-1	-1	00:25:25.488	2	4242
-1	-1	-1	00:25:29.621	3	4133
-1	-1	-1	00:25:33.862	3	4241
-1	-1	-1	00:25:38.121	3	4259
-1	-1	-1	00:25:42.321	3	4200
-1	-1	-1	00:25:46.538	3	4217
-1	-1	-1	00:25:50.780	2	4242
-1	-1	-1	00:25:54.921	3	4141
-1	-1	-1	00:25:59.155	2	4234
-1	-1	-1	00:26:03.304	3	4149
-1	-1	-1	00:26:07.471	3	4167
-1	-1	-1	00:26:11.572	2	4101
-1	-1	-1	00:26:15.805	3	4233
-1	-1	-1	00:26:19.914	3	4109
-1	-1	-1	00:26:24.089	3	4175
-1	-1	-1	00:26:28.264	3	4175
-1	-1	-1	00:26:32.448	2	4184
-1	-1	-1	00:26:36.581	3	4133
-1	-1	-1	00:26:40.764	3	4183
-1	-1	-1	00:26:44.981	3	4217
-1	-1	-1	00:26:49.231	3	4250
-1	-1	-1	00:26:53.415	2	4184
-1	-1	-1	00:26:57.539	3	4124
-1	-1	-1	00:27:01.690	2	4151
-1	-1	-1	00:27:05.814	3	4124
-1	-1	-1	00:27:09.906	3	4092
-1	-1	-1	00:27:13.989	3	4083
-1	-1	-1	00:27:18.057	2	4068
-1	-1	-1	00:27:22.306	3	4249
-1	-1	-1	00:27:26.465	3	4159
-1	-1	-1	00:27:30.658	2	4193
-1	-1	-1	00:27:34.816	3	4158
-1	-1	-1	00:27:38.982	3	4166
-1	-1	-1	00:27:43.124	3	4142
-1	-1	-1	00:27:47.333	2	4209
-1	-1	-1	00:27:51.391	3	4058
-1	-1	-1	00:27:55.525	2	4134
-1	-1	-1	00:27:59.633	3	4108
-1	-1	-1	00:28:03.733	3	4100
-1	-1	-1	00:28:07.808	3	4075
-1	-1	-1	00:28:11.966	3	4158
-1	-1	-1	00:28:16.050	2	4084
-1	-1	-1	00:28:20.233	3	4183
-1	-1	-1	00:28:24.333	3	4100
-1	-1	-1	00:28:28.417	2	4084
-1	-1	-1	00:28:32.650	4	4233
-1	-1	-1	00:28:36.734	3	4084
-1	-1	-1	00:28:40.818	2	4084
-1	-1	-1	00:28:44.943	2	4125
-1	-1	-1	00:28:49.185	2	4242
-1	-1	-1	00:28:53.351	3	4166
-1	-1	-1	00:28:57.560	2	4209
-1	-1	-1	00:29:01.809	3	4249
-1	-1	-1	00:29:05.976	3	4167
-1	-1	-1	00:29:10.159	3	4183
-1	-1	-1	00:29:14.410	2	4251
-1	-1	-1	00:29:18.501	3	4091
-1	-1	-1	00:29:22.685	2	4184
-1	-1	-1	00:29:26.818	3	4133
-1	-1	-1	00:29:30.877	2	4059
-1	-1	-1	00:29:35.126	3	4249
-1	-1	-1	00:29:39.185	3	4059
-1	-1	-1	00:29:43.328	2	4143
-1	-1	-1	00:29:47.510	4	4182
-1	-1	-1	00:29:51.653	2	4143
-1	-1	-1	00:29:55.745	2	4092
-1	-1	-1	00:29:59.878	3	4133
-1	-1	-1	00:30:03.994	3	4116
-1	-1	-1	00:30:08.178	3	4184
-1	-1	-1	00:30:12.394	3	4216
-1	-1	-1	00:30:16.511	3	4117
-1	-1	-1	00:30:20.703	3	4192
-1	-1	-1	00:30:24.903	3	4200
-1	-1	-1	00:30:28.962	2	4059
-1	-1	-1	00:30:33.145	3	4183
-1	-1	-1	00:30:37.378	3	4233
-1	-1	-1	00:30:41.578	3	4200
-1	-1	-1	00:30:45.728	3	4150
-1	-1	-1	00:30:49.904	3	4176
-1	-1	-1	00:30:54.138	2	4234
-1	-1	-1	00:30:58.305	2	4167
-1	-1	-1	00:31:02.479	3	4174
-1	-1	-1	00:31:06.730	2	4251
-1	-1	-1	00:31:10.821	4	4091
-1	-1	-1	00:31:14.922	2	4101
-1	-1	-1	00:31:19.072	2	4150
-1	-1	-1	00:31:23.196	3	4124
-1	-1	-1	00:31:27.388	3	4192
-1	-1	-1	00:31:31.538	3	4150
-1	-1	-1	00:31:35.738	3	4200
-1	-1	-1	00:31:39.838	3	4100
-1	-1	-1	00:31:43.947	2	4109
-1	-1	-1	00:31:48.022	2	4075
-1	-1	-1	00:31:52.273	1	4251
-1	-1	-1	00:31:56.381	3	4108
-1	-1	-1	00:32:00.614	3	4233
-1	-1	-1	00:32:04.756	3	4142
-1	-1	-1	00:32:09.006	3	4250
-1	-1	-1	00:32:13.223	3	4217
-1	-1	-1	00:32:17.448	3	4225
-1	-1	-1	00:32:21.573	3	4125
-1	-1	-1	00:32:25.673	3	4100
-1	-1	-1	00:32:29.923	3	4250
-1	-1	-1	00:32:34.081	3	4158
-1	-1	-1	00:32:38.240	2	4159
-1	-1	-1	00:32:42.498	3	4258
-1	-1	-1	00:32:46.698	3	4200
-1	-1	-1	00:32:50.790	3	4092
-1	-1	-1	00:32:54.982	2	4192
-1	-1	-1	00:32:59.041	3	4059
-1	-1	-1	00:33:03.116	3	4075
-1	-1	-1	00:33:07.358	2	4242
-1	-1	-1	00:33:11.425	2	4067
-1	-1	-1	00:33:15.583	3	4158
Average: 			2.71875	4158.265
Median:			3	4159
